67629@@nginx-96-tw8hm nginx 2023/03/06 00:11:57 [error] 29#29: *883721 upstream timed out (110: Connection timed out) while connecting to upstream, client: 179.218.15.176, server: guruwalk, request: "GET /shlink/yqBdk HTTP/1.1", upstream: "http://172.30.60.76:8080/shlink/yqBdk", host: "www.guruwalk.com"@@list index out of range
139352@@nginx-96-pqcl6 nginx "ES" 80.24.1.235 - guru21 [06/Mar/2023:08:10:40 +0000] "GET /admin-guruwalk HTTP/1.1" 200 2963 "https://www.guruwalk.com/admin-guruwalk/gurus?sort=created_at&order=desc&guru_id=WZTYzZS0GvF87er4uZ7Fxg&phone=&guru_plan_id=&commit=Search" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" "80.24.1.235, 172.64.238.102"@@list index out of range
139481@@nginx-96-pqcl6 nginx "ES" 80.24.1.235 - guru21 [06/Mar/2023:08:10:46 +0000] "GET /settings/credits/user/edit HTTP/1.1" 302 978 "https://www.guruwalk.com/guru-admin/calendar?&date=2023-02-27&month_date=2023-02-01&week_date=2023-02-27" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" "80.24.1.235, 172.64.238.66"@@list index out of range
139483@@nginx-96-pqcl6 nginx "ES" 80.24.1.235 - guru21 [06/Mar/2023:08:10:46 +0000] "GET /es/settings/credits/user/edit HTTP/1.1" 200 8478 "https://www.guruwalk.com/guru-admin/calendar?&date=2023-02-27&month_date=2023-02-01&week_date=2023-02-27" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" "80.24.1.235, 172.64.238.66"@@list index out of range
139573@@nginx-96-pqcl6 nginx "ES" 80.24.1.235 - guru21 [06/Mar/2023:08:10:56 +0000] "GET //gurus/hjmqv11fd2s827cppl4r HTTP/1.1" 302 978 "https://www.guruwalk.com/admin-guruwalk/gurus?sort=created_at&order=desc&guru_id=WZTYzZS0GvF87er4uZ7Fxg&phone=&guru_plan_id=&commit=Search" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" "80.24.1.235, 172.64.238.67"@@list index out of range
139574@@nginx-96-pqcl6 nginx "ES" 80.24.1.235 - guru21 [06/Mar/2023:08:10:56 +0000] "GET /es/gurus/hjmqv11fd2s827cppl4r HTTP/1.1" 200 19940 "https://www.guruwalk.com/admin-guruwalk/gurus?sort=created_at&order=desc&guru_id=WZTYzZS0GvF87er4uZ7Fxg&phone=&guru_plan_id=&commit=Search" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" "80.24.1.235, 172.64.238.102"@@list index out of range
139592@@nginx-96-pqcl6 nginx "ES" 80.24.1.235 - guru21 [06/Mar/2023:08:10:57 +0000] "POST /admin/impersonations?locale=es&user_id=WZTYzZS0GvF87er4uZ7Fxg HTTP/1.1" 302 282 "https://www.guruwalk.com/es/gurus/hjmqv11fd2s827cppl4r" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" "80.24.1.235, 172.64.238.103"@@list index out of range
139594@@nginx-96-pqcl6 nginx "ES" 80.24.1.235 - guru21 [06/Mar/2023:08:10:58 +0000] "GET /es/gurus/hjmqv11fd2s827cppl4r? HTTP/1.1" 200 17919 "https://www.guruwalk.com/es/gurus/hjmqv11fd2s827cppl4r" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" "80.24.1.235, 172.64.238.66"@@list index out of range
139614@@nginx-96-pqcl6 nginx "ES" 80.24.1.235 - guru21 [06/Mar/2023:08:11:02 +0000] "GET /es/settings/credits/user/edit HTTP/1.1" 200 9199 "https://www.guruwalk.com/es/gurus/hjmqv11fd2s827cppl4r?" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" "80.24.1.235, 172.64.238.116"@@list index out of range
141328@@nginx-96-pqcl6 nginx "ES" 80.24.1.235 - guru21 [06/Mar/2023:08:13:28 +0000] "GET /es/gurus/hjmqv11fd2s827cppl4r HTTP/1.1" 200 17915 "https://www.guruwalk.com/es/settings/credits/user/edit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" "80.24.1.235, 172.64.238.103"@@list index out of range
141363@@nginx-96-pqcl6 nginx "ES" 80.24.1.235 - guru21 [06/Mar/2023:08:13:32 +0000] "POST /admin/impersonations?locale=es HTTP/1.1" 302 282 "https://www.guruwalk.com/es/gurus/hjmqv11fd2s827cppl4r" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" "80.24.1.235, 172.64.238.102"@@list index out of range
